track_name,album_name,duration_ms,album_release_date,tempo,energy,loudness
MOON MUSiC,Moon Music,276476,2024-10-04,119.993,0.253,-17.159
feelslikeimfallinginlove,Moon Music,236230,2024-10-04,121.154,0.522,-7.517
WE PRAY,Moon Music,233406,2024-10-04,135.956,0.52,-8.048
JUPiTER,Moon Music,240508,2024-10-04,136.969,0.498,-8.769
GOOD FEELiNGS,Moon Music,217380,2024-10-04,111.07,0.796,-5.343
🌈,Moon Music,369598,2024-10-04,120.026,0.45,-12.08
iAAM,Moon Music,183371,2024-10-04,120.056,0.811,-5.377
AETERNA,Moon Music,253028,2024-10-04,124.944,0.757,-7.656
ALL MY LOVE,Moon Music,222647,2024-10-04,137.848,0.279,-10.279
ONE WORLD,Moon Music,407656,2024-10-04,82.966,0.216,-14.338
MOON MUSiC,Moon Music (Full Moon Edition),276476,2024-10-03,119.992,0.255,-17.068
feelslikeimfallinginlove,Moon Music (Full Moon Edition),236230,2024-10-03,121.143,0.539,-7.483
WE PRAY,Moon Music (Full Moon Edition),233406,2024-10-03,135.966,0.52,-7.99
JUPiTER,Moon Music (Full Moon Edition),240508,2024-10-03,136.994,0.521,-8.74
GOOD FEELiNGS,Moon Music (Full Moon Edition),217380,2024-10-03,111.088,0.818,-4.967
🌈,Moon Music (Full Moon Edition),369598,2024-10-03,120.094,0.447,-12.042
iAAM,Moon Music (Full Moon Edition),183371,2024-10-03,120.043,0.831,-5.22
AETERNA,Moon Music (Full Moon Edition),253028,2024-10-03,124.996,0.741,-7.583
ALL MY LOVE,Moon Music (Full Moon Edition),222647,2024-10-03,137.843,0.282,-10.107
ONE WORLD,Moon Music (Full Moon Edition),407656,2024-10-03,83.096,0.234,-14.272
Moon Music - Elodie,Moon Music (Full Moon Edition),166183,2024-10-03,120.065,0.0755,-20.34
feelslikeimfallinginlive,Moon Music (Full Moon Edition),276080,2024-10-03,121.964,0.625,-7.096
The Karate Kid,Moon Music (Full Moon Edition),175466,2024-10-03,128,0.314,-9.347
We Pray - Be Our Guest,Moon Music (Full Moon Edition),233320,2024-10-03,135.933,0.532,-8.1
Angelsong,Moon Music (Full Moon Edition),261905,2024-10-03,120.035,0.354,-13.107
Jupiter - Single Version,Moon Music (Full Moon Edition),173250,2024-10-03,137.97,0.537,-6.907
Man in The Moon,Moon Music (Full Moon Edition),234600,2024-10-03,130.04,0.676,-5.94
i Am A Mountain,Moon Music (Full Moon Edition),186810,2024-10-03,119.926,0.367,-7.092
All My Love - Live in Dublin,Moon Music (Full Moon Edition),246320,2024-10-03,137.814,0.323,-12.548
👋,Moon Music (Full Moon Edition),153229,2024-10-03,92.763,0.303,-14.503
🪐,Music Of The Spheres,53184,2021-10-15,89.657,0.322,-20.192
Higher Power,Music Of The Spheres,206681,2021-10-15,177.894,0.832,-5.931
Humankind,Music Of The Spheres,266704,2021-10-15,135.006,0.838,-6.498
✨,Music Of The Spheres,53033,2021-10-15,166.784,0.289,-17.24
Let Somebody Go,Music Of The Spheres,241595,2021-10-15,130.953,0.342,-8.93
❤️,Music Of The Spheres,188966,2021-10-15,136.68,0.0491,-15.431
People of The Pride,Music Of The Spheres,217266,2021-10-15,136.362,0.613,-6.785
Biutyful,Music Of The Spheres,192394,2021-10-15,153.937,0.68,-7.84
🌎,Music Of The Spheres,21388,2021-10-15,189.885,0.907,-20.358
